,x,y,prf_size,prf_ampl,bold_bsl,surr_ampl,surr_size,r2,size ratio,suppression index,ecc,polar,roi,session,ses,subject,fwhmax,halfmax,fwmin,min_profile
768,1.0571267680873502,-2.910015654302966,1.5741110892598078,0.01086359370754456,0.0,0.0031059174520911346,3.8548463683828156,0.7218914112613951,2.448903635000421,1.7145880237211641,3.096079474447503,-1.222347304256738,v1,2,placebo,001,3.083083152770996,8.528528213500977,0.0038784199859946966,-0.0014075362123548985
769,1.0694339523240042,-2.628393161118893,1.4712273014490151,0.015686340105119087,0.0,0.00428145552945772,3.3015605209697902,0.7412786421621865,2.244085953080177,1.374512788922227,2.8376292195774817,-1.1843751948273704,v1,2,placebo,001,2.9229228496551514,7.967967987060547,0.005701755173504353,-0.0016662259586155415
773,0.8211207959796866,-2.7052263980225995,1.9538987267343273,0.0746991654143942,0.0,0.06670145340600236,2.0777777953972314,0.7609680277978312,1.0634009669835605,1.0097495059078858,2.8270990831855616,-1.276102994796969,v1,2,placebo,001,3.083083152770996,7.887887954711914,0.0039984434843063354,-0.0012686382979154587
774,0.9347504144386322,-2.3198354361738898,1.5034107483721055,0.017060968570987625,0.0,0.005519629296191177,2.9249815362891227,0.7096579649689716,1.9455638051386126,1.224608259947414,2.501078724914771,-1.1877595508504433,v1,2,placebo,001,2.9229228496551514,7.807807922363281,0.005769978277385235,-0.001679237699136138
778,0.4661336802402507,-2.4734214172469096,1.8486698528866505,0.1573464170437892,0.0,0.1478056535955769,1.90734363168431,0.7264517666935464,1.0317383759496277,0.9999386551754786,2.5169612859855492,-1.384524000051897,v1,2,placebo,001,3.0030031204223633,7.487487316131592,0.004769839346408844,-0.0012877192348241806
783,0.7807681196080398,-2.271338061146594,1.7832331541611437,0.28446918871007987,0.0,0.2757351086805573,1.8125401207881155,0.7196825210463178,1.0164347362870552,1.0014190069975364,2.4017858865039248,-1.2397019585070341,v1,2,placebo,001,2.8428428173065186,7.087087154388428,0.004366487264633179,-0.0012903697788715363
784,0.8270016057506144,-2.207138288386602,1.6655020867689825,0.02366055594001551,0.0,0.013436124672865158,2.273269095541048,0.70549927352839,1.3649151889993203,1.0579384792811226,2.3569877131576726,-1.2122939050701769,v1,2,placebo,001,2.9229228496551514,7.567567348480225,0.005111620761454105,-0.001570962369441986
804,0.6953047893711182,-1.5107514604845926,1.3712931239897337,0.02112663286692972,0.0,0.00784457992679393,2.273462717970827,0.6379140605383735,1.6578969719882062,1.0205974612099133,1.6630750811309587,-1.139461410407482,v1,2,placebo,001,2.682682752609253,6.846847057342529,0.006640052422881126,-0.0015881785657256842
805,0.791265517203071,-1.3395686429833333,1.7808432200500433,0.1087944599684848,0.0,0.09649145039868039,1.900821914938547,0.6232753385762141,1.0673718458411696,1.010447002983814,1.5558101645055713,-1.0372529108313524,v1,2,placebo,001,2.8428428173065186,7.247247219085693,0.006150748580694199,-0.00195380300283432
815,0.847770902084376,-1.2671135701937988,1.465974819471614,0.015682408456074826,0.0,0.004835004240149491,2.9927873630046298,0.6312468557890849,2.0414998424620485,1.2849398545478028,1.5245629872820052,-0.9811408668205407,v1,2,placebo,001,2.8428428173065186,7.647647857666016,0.005423024762421846,-0.0016151106683537364
816,1.0994765110416422,-1.151162709868999,1.3975768992931423,0.01923958720442576,0.0,0.003867342079919942,3.885595236801958,0.6632774960562877,2.780237165316048,1.5537478044126447,1.5918618605033665,-0.8083592470061516,v1,2,placebo,001,2.9229228496551514,8.128128051757812,0.0076851611956954,-0.001957468455657363
